t_s,soc_percent,voltage_mV,temp_dC,plug,status
0.01,95,,,,
0.351,95,,,,
0.862,95,,,,
1.373,95,,,,
1.799,95,,,,
2.704,95,,,,
2.733,95,,,,
2.759,95,,,,
2.785,95,,,,
2.937,95,,,,
3.218,95,,,,
3.282,95,,,,
3.966,95,,,,
4.31,95,,,,
4.81,95,,,,
5.431,95,,,,
6.104,95,,,,
6.882,95,,,,
7.682,95,,,,
7.875,95,,,,
68.669,95,,,,
129.015,95,,,,
189.712,95,3967.0,280.0,,
309.712,95,3967.0,280.0,,
430.106,94,3944.0,280.0,,
550.52,94,3944.0,280.0,,
730.648,94,3944.0,280.0,,
910.828,94,3944.0,280.0,,
1091.008,94,3944.0,280.0,,
1271.305,94,3944.0,280.0,,
1451.728,94,3944.0,280.0,,
1632.195,94,4047.0,280.0,,
1812.346,94,4047.0,280.0,,
2052.384,94,4047.0,280.0,,
2293.295,94,4047.0,280.0,,
2533.932,94,4047.0,280.0,,
2774.569,94,4047.0,280.0,,
3015.271,94,4047.0,280.0,,
3256.16,94,4047.0,280.0,,
3497.049,94,4047.0,280.0,,
3737.97,94,4047.0,280.0,,
3978.119,94,4047.0,280.0,,
4218.288,94,4047.0,280.0,,
4518.564,94,4047.0,280.0,,
4819.406,94,4047.0,280.0,,
5120.34,94,4047.0,280.0,,
5421.276,94,4047.0,280.0,,
5722.253,94,4047.0,280.0,,
6022.902,94,4047.0,280.0,,
6323.146,94,3789.0,300.0,,
6624.03,94,3789.0,300.0,,
6924.079,94,3789.0,300.0,,
7224.131,94,3789.0,300.0,,
7524.183,94,3789.0,300.0,,
7824.273,94,3789.0,300.0,,
8124.647,94,3789.0,300.0,,
8424.83,94,3789.0,300.0,,
8725.095,94,3789.0,300.0,,
9085.233,94,3789.0,300.0,,
9445.53,94,3971.0,290.0,,
9806.386,94,3971.0,290.0,,
10167.242,94,3971.0,290.0,,
10527.341,94,3971.0,290.0,,
10887.44,94,3971.0,290.0,,
11247.669,94,3971.0,290.0,,
11608.161,94,3971.0,290.0,,
11968.312,94,3971.0,290.0,,
12329.211,94,3971.0,290.0,,
12750.089,93,3971.0,290.0,,
13170.977,93,3971.0,290.0,,
13591.683,93,3971.0,290.0,,
14012.583,93,3971.0,290.0,,
14493.178,93,3923.0,290.0,,
15033.84,93,3923.0,310.0,,
15574.362,93,3923.0,310.0,,
16114.449,93,3923.0,310.0,,
16654.921,92,3923.0,300.0,,
17195.396,92,3923.0,300.0,,
17855.919,92,3923.0,310.0,,
18576.509,92,3923.0,310.0,,
19296.592,91,3923.0,310.0,,
20016.68,91,3923.0,310.0,,
20796.818,91,3923.0,310.0,,
21637.53,90,3923.0,320.0,,
22478.245,90,3923.0,320.0,,
23318.336,90,3923.0,320.0,,
24158.429,90,3923.0,320.0,,
25059.199,90,3897.0,330.0,,
26019.841,90,3897.0,330.0,,
26980.206,90,3897.0,330.0,,
27940.59,90,3897.0,330.0,,
28901.535,90,3897.0,330.0,,
29862.301,90,3897.0,330.0,,
30822.669,90,3897.0,330.0,,
31783.323,90,3897.0,330.0,,
32743.495,90,3897.0,330.0,,
33703.797,89,3941.0,330.0,,
34664.101,89,3941.0,330.0,,
35624.764,89,3941.0,330.0,,
36584.972,89,3941.0,330.0,,
37545.692,89,3941.0,330.0,,
38566.347,89,3941.0,330.0,,
39586.957,89,3941.0,330.0,,
40667.149,88,3906.0,340.0,,
41747.353,88,3906.0,340.0,,
42887.614,88,3906.0,340.0,,
44088.275,88,3906.0,340.0,,
45348.427,88,3906.0,350.0,,
46609.219,87,3906.0,350.0,,
47870.019,87,3906.0,350.0,,
49130.67,87,3906.0,350.0,,
50391.428,87,3906.0,350.0,,
51712.292,87,3929.0,350.0,,
53092.897,87,3929.0,350.0,,
54473.823,87,3892.0,350.0,,
55853.977,86,3892.0,350.0,,
57234.138,86,3892.0,350.0,,
58674.793,86,3892.0,350.0,,
60115.739,86,3892.0,350.0,,
61556.698,86,3892.0,350.0,,
62997.424,86,3892.0,350.0,,
64497.991,86,3892.0,360.0,,
66058.256,85,3812.0,360.0,,
67618.523,85,3812.0,360.0,,
69178.568,85,3812.0,360.0,,
70739.476,85,3812.0,360.0,,
72299.502,85,3812.0,360.0,,
73859.693,85,3812.0,360.0,,
75480.401,84,3812.0,370.0,,
77101.114,84,3812.0,370.0,,
78781.927,84,3854.0,370.0,,
80522.798,84,3814.0,380.0,,
82263.633,83,3791.0,370.0,,
84004.491,83,3791.0,370.0,,
85805.391,83,3859.0,370.0,,
87666.335,83,3859.0,370.0,,
89527.062,82,3859.0,370.0,,
91387.864,82,3859.0,370.0,,
93308.654,82,3859.0,370.0,,
95229.097,82,3859.0,370.0,,
97149.873,82,3859.0,370.0,,
99130.309,82,3859.0,370.0,,
101110.404,82,3859.0,370.0,,
103091.2,82,3859.0,370.0,,
105072.002,82,3859.0,370.0,,
107052.826,82,3859.0,370.0,,
109033.779,82,3859.0,370.0,,
111014.732,82,3859.0,370.0,,
112995.498,82,3859.0,370.0,,
114976.394,82,3859.0,370.0,,
116956.735,82,3859.0,370.0,,
118937.499,82,3859.0,370.0,,
120918.21,82,3859.0,370.0,,
122898.98,82,3859.0,370.0,,
124879.768,82,3859.0,370.0,,
126860.072,82,3859.0,370.0,,
128840.197,82,3859.0,370.0,,
130820.477,82,3859.0,370.0,,
132800.938,82,3859.0,370.0,,
134781.799,82,3859.0,370.0,,
136761.833,82,3859.0,370.0,,
138802.63,81,3808.0,380.0,,
140843.481,81,3808.0,380.0,,
142944.084,81,3808.0,380.0,,
145044.78,81,3808.0,380.0,,
147145.606,81,3808.0,380.0,,
149246.437,81,3808.0,380.0,,
151347.298,81,3808.0,370.0,,
153448.177,81,3808.0,370.0,,
155548.431,81,3808.0,370.0,,
157649.187,81,3808.0,370.0,,
159749.899,80,3855.0,370.0,,
161850.617,80,3855.0,370.0,,
163950.777,80,3855.0,370.0,,
166051.072,80,3855.0,370.0,,
