t_s,soc_percent,voltage_mV,temp_dC,plug,status
0.013,100,,,,
0.34,100,,,,
0.777,100,,,,
0.81,100,,,,
0.902,100,,,,
1.577,100,,,,
2.062,100,,,,
2.579,100,,,,
3.146,100,,,,
3.879,100,,,,
4.373,100,,,,
4.934,100,,,,
5.513,100,,,,
6.15,100,,,,
6.569,100,,,,
7.085,100,,,,
7.631,100,,,,
8.177,100,,,,
9.044,100,,,,
9.911,100,,,,
10.516,100,,,,
10.987,100,,,,
11.659,100,,,,
12.135,100,,,,
12.611,100,,,,
13.126,100,,,,
13.772,100,,,,
14.67,100,,,,
15.584,100,,,,
16.412,100,,,,
76.522,100,4105.0,250.0,,
137.23,100,4105.0,250.0,,
197.958,100,4105.0,250.0,,
258.94,100,4105.0,250.0,,
319.648,100,4105.0,250.0,,
379.657,100,4105.0,250.0,,
440.543,100,4105.0,250.0,,
560.715,100,4133.0,260.0,,
681.381,100,4133.0,260.0,,
801.504,100,4133.0,260.0,,
922.068,100,4133.0,260.0,,
1042.668,100,4133.0,260.0,,
1163.601,100,4133.0,260.0,,
1284.499,100,4133.0,260.0,,
1404.769,100,4133.0,260.0,,
1525.097,100,4133.0,260.0,,
1646.033,100,4133.0,260.0,,
1826.219,100,4133.0,260.0,,
2006.416,100,4133.0,260.0,,
2186.64,100,4055.0,260.0,,
2366.868,100,4055.0,260.0,,
2547.145,100,4055.0,260.0,,
2727.314,100,4055.0,260.0,,
2907.529,100,4055.0,260.0,,
3087.638,100,4055.0,260.0,,
3267.79,100,4055.0,260.0,,
3507.839,100,4055.0,260.0,,
3747.929,100,4055.0,260.0,,
3988.773,100,4055.0,270.0,,
4229.663,100,4055.0,270.0,,
4470.605,100,4055.0,270.0,,
4711.435,100,4055.0,270.0,,
4952.305,100,4055.0,270.0,,
5253.078,100,4055.0,270.0,,
5553.893,100,4055.0,270.0,,
5854.793,100,4055.0,270.0,,
6155.509,100,4055.0,270.0,,
6456.266,100,4055.0,270.0,,
6756.917,100,4055.0,270.0,,
7057.608,100,4055.0,270.0,,
7418.203,100,4055.0,270.0,,
7778.834,100,4055.0,270.0,,
8139.798,100,4055.0,270.0,,
8500.329,100,4055.0,270.0,,
