t_s,soc_percent,voltage_mV,temp_dC,plug,status
1740.029,100,,,,
34861.581,100,,,,
68643.144,100,,,,
94265.571,100,,,,
120548.009,100,4192.0,,,
165790.763,100,4192.0,,,
222673.711,100,4192.0,,,
223276.721,100,4192.0,,,
223999.733,100,4192.0,,,
228802.813,100,4192.0,,,
235345.922,100,4192.0,,,
248129.135,100,4192.0,,,
261152.352,100,4192.0,,,
308738.145,100,4192.0,,,
344024.733,100,4192.0,,,
385671.427,100,4192.0,,,
434518.241,100,4192.0,,,
438665.31,100,4192.0,,,
444492.407,100,4192.0,,,
450679.51,100,4192.0,,,
457766.628,100,4192.0,,,
484054.066,100,4192.0,,,
534642.909,100,4192.0,,,
585831.762,100,4192.0,,,
637140.617,100,4192.0,,,
695949.597,100,4192.0,,,
703519.723,100,4192.0,,,
711749.86,100,4192.0,,,
749561.49,100,4192.0,,,
800214.334,100,4192.0,,,
800280.69,100,4192.0,,,
800347.099,100,4192.0,,,
800414.696,100,4192.0,,,
800482.312,100,4192.0,,,
800551.184,100,4192.0,,,
800625.544,100,4192.0,,,
800699.922,100,4192.0,,,
800774.307,100,4192.0,,,
800848.781,100,4192.0,,,
800924.164,100,4192.0,,,
800999.63,100,4192.0,,,
801077.837,100,4192.0,,,
801157.026,100,4192.0,,,
801237.497,100,4192.0,,,
801330.855,100,4192.0,,,
801424.238,100,4192.0,,,
801517.968,100,4192.0,,,
801611.734,100,4192.0,,,
801705.506,100,4192.0,,,
801799.283,100,4192.0,,,
801893.094,100,4192.0,,,
801988.568,100,4192.0,,,
802117.925,100,4192.0,,,
802247.31,100,4192.0,,,
802376.704,100,4192.0,,,
802507.362,100,4192.0,,,
802674.724,100,4192.0,,,
802842.092,100,4192.0,,,
803009.481,100,4192.0,,,
803177.024,100,4192.0,,,
803344.713,100,4192.0,,,
803512.495,100,4192.0,,,
803680.313,100,4192.0,,,
803848.38,100,4192.0,,,
804016.55,100,4192.0,,,
804190.519,100,4192.0,,,
804365.85,100,4192.0,,,
804543.224,100,4192.0,,,
804721.983,100,4192.0,,,
804921.35,100,4192.0,,,
805120.751,100,4192.0,,,
805321.175,100,4192.0,,,
805773.528,100,4192.0,,,
806225.919,100,4192.0,,,
806678.548,100,4192.0,,,
807131.308,100,4192.0,,,
807585.697,100,4192.0,,,
808053.054,100,4192.0,,,
808520.768,100,4192.0,,,
808988.603,100,4192.0,,,
809456.449,100,4192.0,,,
809924.341,100,4192.0,,,
810392.235,100,4192.0,,,
810860.208,100,4192.0,,,
811328.216,100,4192.0,,,
811796.225,100,4192.0,,,
812264.259,100,4192.0,,,
812732.357,100,4192.0,,,
813200.541,100,4192.0,,,
813669.568,100,4192.0,,,
814139.915,100,4192.0,,,
814610.374,100,4192.0,,,
815080.922,100,4192.0,,,
815551.611,100,4192.0,,,
816022.319,100,4192.0,,,
816493.295,100,4192.0,,,
816964.284,100,4192.0,,,
817438.471,100,4192.0,,,
817914.236,100,4192.0,,,
818391.402,100,4192.0,,,
818875.44,100,4192.0,,,
819360.62,100,4192.0,,,
819846.833,100,4192.0,,,
820333.065,100,4192.0,,,
820822.885,100,4192.0,,,
821591.24,100,4192.0,,,
822359.721,100,4192.0,,,
823128.396,100,4192.0,,,
823897.077,100,4192.0,,,
824665.78,100,4192.0,,,
825434.646,100,4192.0,,,
826207.948,100,4192.0,,,
826982.678,100,4192.0,,,
827757.432,100,4192.0,,,
828532.189,100,4192.0,,,
829306.968,100,4192.0,,,
830085.629,100,4192.0,,,
831152.987,100,4192.0,,,
832220.716,100,4192.0,,,
833288.445,100,4192.0,,,
834356.707,100,4192.0,,,
835429.008,100,4192.0,,,
836506.687,100,4192.0,,,
838060.046,100,4192.0,,,
839613.424,100,4192.0,,,
841168.88,100,4192.0,,,
842837.241,100,4192.0,,,
844505.713,100,4192.0,,,
846174.609,100,4192.0,,,
847843.703,100,4192.0,,,
849514.149,100,4192.0,,,
851406.514,100,4192.0,,,
853299.192,100,4192.0,,,
855193.299,100,4192.0,,,
857580.662,100,4192.0,,,
859968.348,100,4197.0,220.0,usb,full
