t_s,soc_percent,voltage_mV,temp_dC,plug,status
0.022,100,,,,
0.97,100,,,,
1.764,100,,,,
2.571,100,,,,
2.729,100,,,,
63.621,100,4233.0,250.0,,
124.312,100,4233.0,250.0,,
184.971,100,4233.0,250.0,,
245.111,100,4233.0,250.0,,
306.028,100,4233.0,250.0,,
366.919,100,4233.0,250.0,,
427.833,100,4233.0,250.0,,
488.788,100,4233.0,250.0,,
609.612,100,4193.0,240.0,,
790.497,100,4193.0,240.0,,
1031.442,100,4193.0,240.0,,
1272.356,100,4193.0,240.0,,
1513.119,100,4193.0,240.0,,
1753.945,100,4193.0,240.0,,
2054.917,100,4157.0,240.0,,
2414.925,100,4180.0,240.0,,
2775.763,100,4180.0,240.0,,
3135.855,100,4180.0,240.0,,
3496.718,100,4180.0,240.0,,
3916.933,100,4180.0,240.0,,
4337.001,100,4180.0,250.0,,
4817.994,100,4180.0,250.0,,
5358.908,100,4147.0,250.0,,
5959.888,100,4147.0,250.0,,
6620.284,100,4147.0,250.0,,
7280.687,100,4147.0,250.0,,
7941.157,100,4147.0,250.0,,
8602.046,100,4147.0,250.0,,
9262.988,100,4147.0,250.0,,
9923.308,100,4147.0,250.0,,
10583.802,100,4147.0,250.0,,
11244.287,100,4147.0,250.0,,
11964.619,100,4147.0,250.0,,
12685.124,100,4147.0,250.0,,
13405.456,100,4147.0,250.0,,
14126.215,100,4147.0,250.0,,
14847.006,100,4147.0,250.0,,
15567.263,100,4147.0,250.0,,
16287.636,100,4147.0,250.0,,
17008.479,100,4147.0,250.0,,
17789.046,100,4180.0,250.0,,
18569.256,100,4180.0,250.0,,
19349.691,100,4180.0,250.0,,
20130.485,100,4180.0,250.0,,
20910.888,100,4180.0,250.0,,
21751.498,100,4180.0,240.0,,
22652.169,100,4180.0,240.0,,
23553.055,100,4180.0,240.0,,
24453.863,100,4180.0,240.0,,
25354.7,100,4180.0,240.0,,
26315.619,100,4180.0,240.0,,
27336.602,100,4180.0,240.0,,
28417.595,100,4180.0,240.0,,
29558.185,100,4180.0,240.0,,
30698.8,100,4180.0,240.0,,
31839.459,100,4130.0,240.0,,
32979.507,100,4130.0,240.0,,
34119.71,100,4130.0,240.0,,
35259.919,100,4130.0,240.0,,
36400.137,100,4130.0,240.0,,
37540.404,100,4130.0,240.0,,
38680.672,100,4130.0,240.0,,
39821.227,100,4130.0,240.0,,
40961.787,100,4130.0,240.0,,
42102.668,100,4130.0,240.0,,
43243.631,100,4130.0,240.0,,
44383.997,100,4130.0,240.0,,
45524.042,100,4130.0,240.0,,
46664.113,100,4130.0,240.0,,
47804.187,100,4130.0,240.0,,
